iter	MultiClass
0	1.041426424
1	0.9832626905
2	0.9725725843
3	0.9233521274
4	0.8838351792
5	0.8452841399
6	0.8166144654
7	0.7903401793
8	0.7595936602
9	0.7423935197
10	0.712553145
11	0.6926044685
12	0.6675757708
13	0.6430146397
14	0.608352705
15	0.5842019253
16	0.5646147282
17	0.5432640496
18	0.5171313272
19	0.498245846
20	0.4757337659
21	0.4565973716
22	0.4347561482
23	0.4264724832
24	0.4147428507
25	0.4055644558
26	0.3874047068
27	0.3746591437
28	0.3603864205
29	0.3494697587
30	0.3412138583
31	0.3332942038
32	0.325259653
33	0.3140928028
34	0.301575024
35	0.2945491895
36	0.2872470112
37	0.2826790811
38	0.2762254623
39	0.2678943812
40	0.2619671707
41	0.2588981653
42	0.2536907768
43	0.2496481556
44	0.2436519104
45	0.239656172
46	0.235251616
47	0.2290538855
48	0.2238798591
49	0.2202826889
50	0.2145356642
51	0.2106558921
52	0.2062100218
53	0.2027675084
54	0.1984950242
55	0.1947859145
56	0.1928854538
57	0.1891857045
58	0.1863320101
59	0.1829991785
60	0.1788884588
61	0.1763540807
62	0.1697144002
63	0.1645896239
64	0.1599659874
65	0.1563563307
66	0.1531453867
67	0.1509655331
68	0.1486453853
69	0.1451513342
70	0.1428226185
71	0.1409453164
72	0.1387654187
73	0.1368526486
74	0.1351752939
75	0.1321335106
76	0.1301443125
77	0.1280795596
78	0.1265720396
79	0.1251724251
80	0.1233605317
81	0.1219425116
82	0.1199201675
83	0.1185150362
84	0.1166265749
85	0.1150100973
86	0.1133444987
87	0.1121618419
88	0.1107296903
89	0.1090589547
90	0.1082361027
91	0.1070276075
92	0.1054635792
93	0.1043606815
94	0.1029615695
95	0.1015100094
96	0.09997294562
97	0.0990555061
98	0.09837670511
99	0.097520578
