iter	Passed	Remaining
0	0	12
1	0	19
2	0	14
3	0	17
4	0	18
5	1	19
6	1	19
7	1	19
8	1	19
9	2	19
10	2	19
11	2	19
12	2	18
13	3	18
14	3	18
15	3	18
16	3	18
17	3	18
18	4	17
19	4	17
20	4	17
21	4	17
22	5	16
23	5	16
24	5	16
25	5	16
26	5	16
27	6	15
28	6	15
29	6	15
30	6	15
31	7	14
32	7	14
33	7	14
34	7	14
35	7	14
36	8	13
37	8	13
38	8	13
39	8	13
40	9	13
41	9	13
42	9	12
43	10	12
44	10	12
45	10	12
46	10	12
47	11	11
48	11	11
49	11	11
50	11	11
51	11	11
52	12	10
53	12	10
54	12	10
55	12	10
56	13	9
57	13	9
58	13	9
59	13	9
60	14	9
61	14	8
62	14	8
63	14	8
64	15	8
65	15	7
66	15	7
67	15	7
68	15	7
69	16	6
70	16	6
71	16	6
72	16	6
73	17	6
74	17	5
75	17	5
76	17	5
77	18	5
78	18	4
79	18	4
80	18	4
81	19	4
82	19	3
83	19	3
84	19	3
85	20	3
86	20	3
87	20	2
88	20	2
89	21	2
90	21	2
91	21	1
92	21	1
93	22	1
94	22	1
95	22	0
96	22	0
97	22	0
98	23	0
99	23	0
