iter	MultiClass
0	1.036143859
1	0.9825869448
2	0.9377732044
3	0.8991581119
4	0.8697224135
5	0.8405440325
6	0.8153799148
7	0.793204262
8	0.7749902616
9	0.7585097262
10	0.7430808986
11	0.7297125845
12	0.7174945214
13	0.7068714842
14	0.6985730287
15	0.6900486953
16	0.6798076634
17	0.6697633986
18	0.6625100749
19	0.6567522404
20	0.6507633896
21	0.644662563
22	0.6370904103
23	0.6317039727
24	0.6273348813
25	0.6220707648
26	0.6176706594
27	0.6141715407
28	0.610187378
29	0.6063378886
30	0.603344837
31	0.5999877708
32	0.5968695081
33	0.5940753316
34	0.5906503988
35	0.5883996134
36	0.5862123709
37	0.5841229784
38	0.5812692237
39	0.5790919319
40	0.5780670757
41	0.5750695954
42	0.5732898027
43	0.5713663714
44	0.5695096174
45	0.568329783
46	0.5657623419
47	0.5633660655
48	0.5607006315
49	0.5592598662
50	0.5576214478
51	0.5565457807
52	0.5559055479
53	0.5545775875
54	0.5528084848
55	0.5511594495
56	0.5497766147
57	0.5486112237
58	0.5470669731
59	0.5462587635
60	0.5446236041
61	0.5435447255
62	0.5421898061
63	0.5401636016
64	0.5391833215
65	0.5378421486
66	0.5366543258
67	0.5354102951
68	0.5340922504
69	0.5332543419
70	0.5320704044
71	0.5301832384
72	0.5283934078
73	0.5272567637
74	0.5256975236
75	0.5250323232
76	0.5240556721
77	0.5229761156
78	0.5220997837
79	0.5211074927
80	0.5202023234
81	0.5181183733
82	0.5163531128
83	0.5148386213
84	0.5137386398
85	0.5119555988
86	0.5114746105
87	0.5106068125
88	0.5089706766
89	0.5071531423
90	0.5062604061
91	0.5050413513
92	0.5040848956
93	0.5032667835
94	0.5021042548
95	0.500915502
96	0.4995851867
97	0.498560087
98	0.4968437077
99	0.4962171088
100	0.4952826329
101	0.4941291035
102	0.4925601304
103	0.4917364616
104	0.4910497177
105	0.4900820747
106	0.4891477908
107	0.4881831482
108	0.4869009294
109	0.4861513926
110	0.4848542005
111	0.4834498017
112	0.4829869844
113	0.4814848864
114	0.4807387677
115	0.4801820625
116	0.4796280442
117	0.4783854315
118	0.4767332391
119	0.4762666521
120	0.4752278545
121	0.4740758986
122	0.4732391388
123	0.4717471901
124	0.4706301899
125	0.4696530334
126	0.4693145704
127	0.4687674006
128	0.4680389993
129	0.4670241822
130	0.4661996809
131	0.4653063077
132	0.4642358589
133	0.4632234886
134	0.4622046915
135	0.4619557792
136	0.4604373711
137	0.4598118129
138	0.4587873548
139	0.4575499123
140	0.4571098042
141	0.4561037417
142	0.4558449886
143	0.4548708838
144	0.4540491061
145	0.4534748186
146	0.4522827822
147	0.4516951115
148	0.4504213356
149	0.4488926589
150	0.4479750057
151	0.4472687675
152	0.4466949539
153	0.4450703034
154	0.4443899322
155	0.443242145
156	0.4429709044
157	0.4419677409
158	0.4406366707
159	0.4397972427
160	0.4395362084
161	0.438895185
162	0.4383182801
163	0.4373212598
164	0.4365484085
165	0.4361157236
166	0.4354229286
167	0.4349148549
168	0.4345526908
169	0.4337799805
170	0.4333139499
171	0.4327251868
172	0.43211995
173	0.4312643424
174	0.4304461514
175	0.4296636978
176	0.4288420172
177	0.4278836614
178	0.4271845919
179	0.4268512648
180	0.4261890879
181	0.4254969516
182	0.4246971199
183	0.4233178008
184	0.422497058
185	0.4217952723
186	0.4215011169
187	0.4209193822
188	0.4206985812
189	0.4201216644
190	0.4189000702
191	0.4185001739
192	0.417948404
193	0.4169817527
194	0.4164786891
195	0.4158817405
196	0.4151078787
197	0.4143448814
198	0.4140087574
199	0.4136997792
200	0.4132127729
201	0.4127401822
202	0.4125123173
203	0.4119922024
204	0.411368947
205	0.4103778603
206	0.4095421422
207	0.4088645125
208	0.408609276
209	0.4081824465
210	0.4067810944
211	0.4063625425
212	0.4053093439
213	0.4049301611
214	0.4041242934
215	0.4029006292
216	0.402092509
217	0.4012616892
218	0.4006155076
219	0.4003560489
220	0.3994745274
221	0.3989522283
222	0.3979951925
223	0.3973556506
224	0.3966412579
225	0.3963648361
226	0.3954058501
227	0.3943210991
228	0.3940925065
229	0.3937156802
230	0.3933280384
231	0.3927072121
232	0.3916052216
233	0.3911162047
234	0.3902564198
235	0.3898308891
236	0.3892117174
237	0.3886242937
238	0.3878020528
239	0.3868578186
240	0.3860139677
241	0.385505006
242	0.3850658198
243	0.3847271364
244	0.3841777036
245	0.3835919995
246	0.3830881942
247	0.3824341179
248	0.3813949269
249	0.3811608211
250	0.380387833
251	0.379772278
252	0.3790254181
253	0.378020552
254	0.3777247819
255	0.3773706374
256	0.3768073866
257	0.3763684196
258	0.376075129
259	0.3757865208
260	0.3752488542
261	0.3748969097
262	0.3739090959
263	0.3736432102
264	0.3732655201
265	0.3722515861
266	0.3717458109
267	0.3713480639
268	0.3710538417
269	0.3707616337
270	0.3698518462
271	0.3694077394
272	0.3690237643
273	0.3683113681
274	0.3678012069
275	0.3672549031
276	0.3666809379
277	0.3658803001
278	0.3656864457
279	0.3648781144
280	0.3644856223
281	0.3639812334
282	0.3636454626
283	0.3625616037
284	0.3621463281
285	0.3615165746
286	0.3609705193
287	0.3607337028
288	0.3606040059
289	0.3601808587
290	0.3598200701
291	0.3590472234
292	0.3587225919
293	0.358098274
294	0.3574507427
295	0.3572372376
296	0.3568474366
297	0.3566729043
298	0.3561881775
299	0.3554963166
300	0.3547577299
301	0.354510499
302	0.3542554906
303	0.3536805404
304	0.3532415479
305	0.352422195
306	0.3515046852
307	0.3512135015
308	0.3504345816
309	0.3500167407
310	0.3495588245
311	0.3494405858
312	0.3485669166
313	0.3476920197
314	0.3473631439
315	0.3470522959
316	0.3465807568
317	0.346096037
318	0.3456827812
319	0.3451003958
320	0.3447192402
321	0.3440703979
322	0.3431453693
323	0.3427116312
324	0.3424797809
325	0.3418866572
326	0.3413180419
327	0.3410682556
328	0.3407440427
329	0.3402251193
330	0.3399769287
331	0.3395807002
332	0.3392207111
333	0.3386849212
334	0.3380926893
335	0.3378121355
336	0.3373075743
337	0.3366124905
338	0.3363336601
339	0.3357453829
340	0.3352534108
341	0.3350495655
342	0.3344644721
343	0.3341553927
344	0.3337144108
345	0.3333995247
346	0.3330930473
347	0.3328473006
348	0.3320938128
349	0.3314336492
350	0.3310632791
351	0.3308681262
352	0.330361643
353	0.3299265004
354	0.3294771955
355	0.3289013661
356	0.328277858
357	0.3278775816
358	0.3277358922
359	0.3276326784
360	0.3272069648
361	0.3264209035
362	0.3257996181
363	0.3254171047
364	0.3246215889
365	0.3241007405
366	0.3238766083
367	0.3231086588
368	0.3230311616
369	0.3226326235
370	0.3224679812
371	0.3219874909
372	0.3213717328
373	0.3210490593
374	0.320463114
375	0.319852195
376	0.319603164
377	0.3189624233
378	0.3187902794
379	0.3183568127
380	0.3177634964
381	0.3174331213
382	0.3166336386
383	0.3161096829
384	0.3156380877
385	0.3152678988
386	0.3148030171
387	0.3143427926
388	0.3140247716
389	0.3136815102
390	0.3131622323
391	0.312590686
392	0.3121412394
393	0.3116900388
394	0.3112290293
395	0.3104895243
396	0.3099197012
397	0.3094586341
398	0.3089472734
399	0.3087261209
400	0.308454127
401	0.3081227226
402	0.3078566499
403	0.3075829268
404	0.3067328224
405	0.3063269586
406	0.305952451
407	0.3051955186
408	0.304853773
409	0.3045241617
410	0.303838034
411	0.3032828539
412	0.3030732988
413	0.3021611596
414	0.3018412356
415	0.3015896451
416	0.3009043051
417	0.3006431033
418	0.3003522165
419	0.2999109507
420	0.2996855769
421	0.2989735301
422	0.2987374332
423	0.2981503077
424	0.2974689387
425	0.2969277165
426	0.2962131639
427	0.2956419185
428	0.2949205182
429	0.2945079876
430	0.2942725192
431	0.2940069862
432	0.293742054
433	0.2932148691
434	0.2928694307
435	0.2923586583
436	0.2917219795
437	0.2914388417
438	0.2910427218
439	0.2906022117
440	0.2903805906
441	0.2900960047
442	0.2894529873
443	0.2887779186
444	0.2882037807
445	0.2874868158
446	0.2872170116
447	0.2870333973
448	0.2860091023
449	0.2856537226
450	0.2847881349
451	0.2844728081
452	0.2841992397
453	0.283734152
454	0.2831957018
455	0.2826973086
456	0.2823257106
457	0.2815683998
458	0.2810998059
459	0.2808577349
460	0.2802648912
461	0.2798965607
462	0.2791239919
463	0.2788365103
464	0.2786799329
465	0.2781936512
466	0.2776338953
467	0.2774694954
468	0.2770269907
469	0.2761091649
470	0.2757378052
471	0.2755367142
472	0.2751801568
473	0.2747574297
474	0.2744841647
475	0.2742682658
476	0.2738966567
477	0.2734181574
478	0.2726601257
479	0.2723596785
480	0.2717982883
481	0.2713681394
482	0.2711485046
483	0.2707426167
484	0.2703898832
485	0.270014039
486	0.2693564466
487	0.2690788134
488	0.2687683304
489	0.2683406464
490	0.2680259799
491	0.2672697415
492	0.266475576
493	0.2663618052
494	0.2662541496
495	0.2657354968
496	0.2655136544
497	0.2653296547
498	0.2649263386
499	0.2645354674
500	0.2643594794
501	0.2642022151
502	0.2637198309
503	0.2636102345
504	0.2633725401
505	0.2632809458
506	0.2629509718
507	0.2623258673
508	0.2616035803
509	0.2611753322
510	0.260754614
511	0.2603851201
512	0.2600239188
513	0.2598201004
514	0.2595938426
515	0.2592859575
516	0.2588072144
517	0.2583596374
518	0.2581046113
519	0.2578247587
520	0.2573026523
