iter	Passed	Remaining
0	1	1733
1	3	1713
2	5	1703
3	6	1693
4	8	1682
5	10	1677
6	12	1755
7	14	1750
8	15	1717
9	17	1706
10	18	1696
11	20	1685
12	22	1681
13	23	1682
14	25	1679
15	27	1675
16	28	1671
17	31	1708
18	32	1699
19	34	1692
20	36	1687
21	37	1684
22	39	1690
23	41	1684
24	42	1675
25	44	1672
26	46	1670
27	48	1666
28	49	1663
29	51	1678
30	53	1675
31	55	1669
32	56	1665
33	58	1661
34	60	1660
35	62	1661
36	63	1662
37	65	1660
38	67	1657
39	68	1652
40	70	1651
41	72	1647
42	73	1640
43	75	1634
44	76	1631
45	78	1629
46	80	1628
47	82	1626
48	83	1629
49	85	1630
50	87	1628
51	89	1624
52	90	1621
53	92	1619
54	94	1616
55	95	1613
56	97	1611
57	99	1609
58	100	1605
59	102	1603
60	104	1601
61	105	1600
62	107	1595
63	108	1593
64	110	1591
65	112	1588
66	113	1586
67	115	1583
68	117	1579
69	118	1575
70	120	1573
71	121	1572
72	123	1570
73	125	1569
74	127	1566
75	128	1563
76	130	1560
77	131	1556
78	133	1553
79	134	1550
80	136	1547
81	138	1547
82	139	1546
83	141	1544
84	143	1541
85	144	1538
86	146	1536
87	148	1535
88	149	1534
89	151	1533
90	153	1531
91	154	1528
92	156	1526
93	158	1523
94	159	1521
95	161	1519
96	163	1518
97	164	1516
98	166	1515
99	168	1513
100	169	1510
101	171	1508
102	172	1506
103	174	1506
104	176	1504
105	178	1503
106	179	1501
107	181	1499
108	183	1496
109	184	1493
110	186	1490
111	187	1489
112	189	1485
113	191	1488
114	193	1485
115	194	1483
116	196	1481
117	197	1479
118	199	1477
119	201	1476
120	202	1474
121	204	1472
122	206	1471
123	207	1468
124	209	1469
125	211	1468
126	213	1466
127	214	1464
128	216	1461
129	217	1458
130	219	1456
131	221	1455
132	223	1455
133	225	1456
134	226	1454
135	228	1451
136	230	1448
137	231	1446
138	233	1444
139	235	1444
140	236	1441
141	238	1441
142	239	1438
143	241	1436
144	243	1435
145	244	1432
146	246	1429
147	247	1427
148	249	1424
149	251	1423
150	252	1421
151	254	1420
152	256	1419
153	258	1418
154	259	1416
155	261	1414
156	263	1412
157	264	1410
158	266	1409
159	268	1407
160	269	1405
161	271	1404
162	273	1402
163	274	1401
164	276	1399
165	278	1397
166	280	1397
167	281	1395
168	283	1393
169	285	1392
170	286	1390
171	288	1387
172	289	1385
173	291	1383
174	293	1381
175	294	1379
176	296	1377
177	297	1375
178	299	1372
179	300	1370
180	302	1368
181	304	1366
182	305	1365
183	307	1363
184	309	1362
185	310	1360
186	312	1359
187	314	1357
188	315	1354
189	317	1352
190	318	1350
191	320	1348
192	321	1346
193	323	1344
194	325	1342
195	326	1340
196	328	1339
197	330	1337
198	331	1336
199	333	1334
200	335	1333
201	336	1331
202	338	1328
203	340	1327
204	341	1325
205	343	1324
206	345	1322
207	346	1320
208	348	1318
209	349	1316
210	351	1314
211	353	1312
212	354	1311
213	356	1308
214	358	1307
215	359	1305
216	361	1304
217	363	1302
218	364	1300
219	366	1298
220	368	1297
221	369	1295
222	371	1294
223	373	1292
224	374	1290
225	376	1288
226	377	1286
227	379	1284
228	381	1283
229	382	1281
230	384	1279
231	385	1277
232	387	1276
233	389	1274
234	390	1272
235	392	1270
236	393	1268
237	395	1266
238	397	1264
239	398	1263
240	400	1261
241	402	1259
242	403	1257
243	405	1255
244	406	1253
245	408	1251
246	409	1249
247	411	1248
248	413	1246
249	414	1244
250	416	1242
251	418	1241
252	419	1239
253	421	1238
254	423	1236
255	424	1234
256	426	1233
257	428	1232
258	429	1230
259	431	1227
260	433	1226
261	434	1224
262	436	1223
263	438	1221
264	439	1219
265	441	1217
266	443	1216
267	444	1214
268	446	1212
269	448	1211
270	449	1210
271	451	1208
272	453	1206
273	454	1204
274	456	1202
275	457	1201
276	459	1199
277	461	1197
278	462	1195
279	464	1194
280	465	1192
281	467	1190
282	469	1188
283	470	1186
284	472	1184
285	473	1183
286	475	1181
287	477	1180
288	479	1178
289	480	1177
290	482	1175
291	484	1173
292	485	1171
293	487	1170
294	488	1168
295	490	1166
296	492	1165
